district_name_eng_1398,district_code_1398,district_name_eng_1397,district_code_1397,match_97_98,district_name_eng_1396,district_code_1396,match_96_98,district_name_eng_1395,district_code_1395,match_95_98,district_name_eng_1394,district_code_1394,match_94_98,district_name_eng_1393,district_code_1393,match_93_98,district_name_eng_1392,district_code_1392,match_92_98,district_name_eng_1391,district_code_1391,match_91_98,district_name_eng_1390,district_code_1390,match_90_98,district_name_eng_1389,district_code_1389,match_89_98,district_name_eng_1388,district_code_1388,match_88_98,district_name_eng_1387,district_code_1387,match_87_98,district_name_eng_1386,district_code_1386,match_86_98,district_name_eng_1385,district_code_1385,match_85_98,district_name_eng_1384,district_code_1384,match_84_98,district_name_eng_1383,district_code_1383,match_83_98
Andarab,907,Andarab,907,907,Andarab,907,907,Andarab,907,907,Andarab,907,907,Andarab,907,907,Andarab,907,907,Andarab,907,907,Andarab,907,907,Andarab,907,907,Andarab,907,907,Andarab,1606,1606,Andarab,1606,1606,Andarab,1606,1606,Andarab,1606,1606,Andarab,1606,1606
Deh Salah,908,Deh Salah,908,908,Deh  Salah,908,908,Deh  Salah,908,908,DehSalah,908,908,DehSalah,908,908,Deh  Salah,908,908,Deh  Salah,908,908,Deh  Salah,908,908,Deh  Salah,908,908,Deh  Salah,908,908,DehSalah,1611,1611,DehSalah,1611,1611,DehSalah,1611,1611,DehSalah,1611,1611,DehSalah,1611,1611
Khwaja hejran (Jalga ),909,Khwaja hejran (Jalga ),909,909,Khwaja hejran (Jalga ),909,909,Khwaja hejran (Jalga ),909,909,Khwaja hejran (Jalga ),909,909,Khwaja hejran (Jalga ),909,909,Khwaja hejran (Jalga ),909,909,Khwaja hejran (Jalga ),909,909,Burka,909,909,Burka,909,909,Burka,909,909,Jalga,1612,1612,Jalga,1612,1612,Jalga,1612,1612,Jalga,1612,1612,Jalga,1612,1612
Burka,910,Burka,910,910,Burka,910,910,Burka,910,910,Burka,910,910,Burka,910,910,Burka,910,910,Burka,910,910,Khwaja hejran (Jalga ),910,910,Khwaja hejran (Jalga ),910,910,Jalga,910,910,Burka,1608,1608,Burka,1608,1608,Burka,1608,1608,Burka,1608,1608,Burka,1608,1608
Tala Wa Barfak,911,Tala Wa Barfak,911,911,Tala Wa Barfak,911,911,Tala Wa Barfak,911,911,Tala Wa Barfak,911,911,Tala Wa Barfak,911,911,Tala Wa Barfak,911,911,Tala Wa Barfak,911,911,Tala Wa Barfak,911,911,Tala Wa Barfak,911,911,Tala Wa Barfak,911,911,Tala Wa Barfak,1609,1609,Tala Wa Barfak,1609,1609,Tala Wa Barfak,1609,1609,Tala Wa Barfak,1609,1609,Tala Wa Barfak,1609,1609
Pul –e-Hisar,912,Pul –e-Hisar,912,912,Pul –e-Hisar,912,912,Pul –e-Hisar,912,912,Pul –e-Hisar,912,912,Pul –e-Hisar,912,912,Pul –e-Hisar,912,912,Pul –e-Hisar,912,912,Pul –i-Hisar,912,912,Pul –i-Hisar,912,912,Pul –i-Hisar,912,912,Pul –i-Hisar,1610,1610,Pul –i-Hisar,1610,1610,Pul –i-Hisar,1610,1610,Pul –i-Hisar,1610,1610,Pul –i-Hisar,1610,1610
Khost Wa Firing,913,Khost Wa Firing,913,913,Khost Wa Firing,913,913,Khost Wa Firing,913,913,Khost Wa Firing,913,913,Khost Wa Firing,913,913,Khost Wa Firing,913,913,Khost Wa Firing,913,913,Khost Wa Firing,913,913,Khost Wa Firing,913,913,Khost Wa Firing,913,913,Khost Wa Firing,1613,1613,Khost Wa Firing,1613,1613,Khost Wa Firing,1613,1613,Khost Wa Firing,1613,1613,Khost Wa Firing,1613,1613
Gozargah-e- S.Noor,914,Gozargah-e- Noor,914,914,Gozargah-e- Noor,914,914,Gozargah-e- Noor,914,914,Gozargah-e- Noor,914,914,Gozargah-e- Noor,914,914,Gozargah-e- Noor,914,914,Gozargah-e- Noor,914,914,Gozargah-i- Noor,914,914,Gozargah-i- Noor,914,914,Gozargah-i- Noor,914,914,Gozargah-i- Noor,1615,1615,Gozargah-i- Noor,1615,1615,Gozargah-i- Noor,1615,1615,Gozargah-i- Noor,1615,1615,Gozargah-i- Noor,1615,1615
Firing Wa Gharu,915,Firing Wa Gharu,915,915,Firing Wa Gharu,915,915,Firing Wa Gharu,915,915,Firing Wa Gharu,915,915,Firing Wa Gharu,915,915,Firing Wa Gharu,915,915,Firing Wa Gharu,915,915,Firing Wa Gharu,915,915,Firing Wa Gharu,915,915,Firing Wa Gharu,915,915,Firing Wa Gharu,1614,1614,Firing Wa Gharu,1614,1614,Firing Wa Gharu,1614,1614,Firing Wa Gharu,1614,1614,Firing Wa Gharu,1614,1614
provincial Capital (Mazar-e- sharif),2101,province Center (Mazar-e- sharif),2101,2101,province Center (Mazar-e- sharif),2101,2101,province Center (Mazar-e- sharif),2101,2101,province Center (Mazar-e- sharif),2101,2101,province Center (Mazar-e- sharif),2101,2101,Balkh Center (Mazar-e- sharif),2101,2101,Balkh Center (Mazar-e- sharif),2101,2101,Balkh Center (Mazar-e- sharif),2101,2101,Balkh Center (Mazar-e- sharif),2101,2101,Balkh Center (Mazar-i- sharif),2101,2101,Balkh Center(Mazar-i- sharif),1901,1901,Balkh Center(Mazar-i- sharif),1901,1901,Balkh Center(Mazar-i- sharif),1901,1901,Balkh Center(Mazar-i- sharif),1901,1901,Balkh Center(Mazar-i- sharif),1901,1901
Nahri Shahi,2102,Nahri Shahi,2102,2102,Nahri Shahi,2102,2102,Nahri Shahi,2102,2102,Nahri Shahi,2102,2102,Nahri Shahi,2102,2102,Nahri Shahi,2102,2102,Nahri Shahi,2102,2102,Nahri Shahi,2102,2102,Nahri Shahi,2102,2102,Nahri Shahi,2102,2102,Nahri Shahi,1903,1903,Nahri Shahi,1903,1903,Nahri Shahi,1903,1903,Nahri Shahi,1903,1903,Nahri Shahi,1903,1903
Dehdadi,2103,Dehdadi,2103,2103,Dehdadi,2103,2103,Dehdadi,2103,2103,Dehdadi,2103,2103,Dehdadi,2103,2103,Dehdadi,2103,2103,Dehdadi,2103,2103,Dehdadi,2103,2103,Dehdadi,2103,2103,Dehdadi,2103,2103,Dehdadi,1902,1902,Dehdadi,1902,1902,Dehdadi,1902,1902,Dehdadi,1902,1902,Dehdadi,1902,1902
Char kent,2104,Char kent,2104,2104,Char kent,2104,2104,Char kent,2104,2104,Char kent,2104,2104,Char kent,2104,2104,Char kent,2104,2104,Char kent,2104,2104,Char kent,2104,2104,Char kent,2104,2104,Char kent,2104,2104,Char kent,1913,1913,Char kent,1913,1913,Char kent,1913,1913,Char kent,1913,1913,Char kent,1913,1913
Marmul,2105,Marmul,2105,2105,Marmul,2105,2105,Marmul,2105,2105,Marmul,2105,2105,Marmul,2105,2105,Marmul,2105,2105,Marmul,2105,2105,Marmul,2105,2105,Marmul,2105,2105,Marmul,2105,2105,Marmul,1904,1904,Marmul,1904,1904,Marmul,1904,1904,Marmul,1904,1904,Marmul,1904,1904
Balkh,2106,Balkh,2106,2106,Balkh,2106,2106,Balkh,2106,2106,Balkh,2106,2106,Balkh,2106,2106,Balkh,2106,2106,Balkh,2106,2106,Balkh,2106,2106,Balkh,2106,2106,Balkh,2106,2106,Balkh,1909,1909,Balkh,1909,1909,Balkh,1909,1909,Balkh,1909,1909,Balkh,1909,1909
Sholgara,2107,Sholgara,2107,2107,Sholgara,2107,2107,Sholgara,2107,2107,Sholgara,2107,2107,Sholgara,2107,2107,Sholgara,2107,2107,Sholgara,2107,2107,Sholgara,2107,2107,Sholgara,2107,2107,Sholgara,2107,2107,Sholgara,1912,1912,Sholgara,1912,1912,Sholgara,1912,1912,Sholgara,1912,1912,Sholgara,1912,1912
Chimtal,2108,Chimtal,2108,2108,Chimtal,2108,2108,Chimtal,2108,2108,Chimtal,2108,2108,Chimtal,2108,2108,Chimtal,2108,2108,Chimtal,2108,2108,Chimtal,2108,2108,Chimtal,2108,2108,Chimtal,2108,2108,Chimtal,1911,1911,Chimtal,1911,1911,Chimtal,1911,1911,Chimtal,1911,1911,Chimtal,1911,1911
Dawlat Abad,2109,Dawlat Abad,2109,2109,Dawlat Abad,2109,2109,Dawlat Abad,2109,2109,Dawlat Abad,2109,2109,Dawlat Abad,2109,2109,Dawlat Abad,2109,2109,Dawlat Abad,2109,2109,Dawlat Abad,2109,2109,Dawlat Abad,2109,2109,Dawlat Abad,2109,2109,Dawlat Abad,1908,1908,Dawlat Abad,1908,1908,Dawlat Abad,1908,1908,Dawlat Abad,1908,1908,Dawlat Abad,1908,1908
Khulm,2110,Khulm,2110,2110,Khulm,2110,2110,Khulm,2110,2110,Khulm,2110,2110,Khulm,2110,2110,Khulm,2110,2110,Khulm,2110,2110,Khulm,2110,2110,Khulm,2110,2110,Khulm,2110,2110,Khulm,1905,1905,Khulm,1905,1905,Khulm,1905,1905,Khulm,1905,1905,Khulm,1905,1905
Char Bolak,2111,Char Bolak,2111,2111,Char Bolak,2111,2111,Char Bolak,2111,2111,Char Bolak,2111,2111,Char Bolak,2111,2111,Char Bolak,2111,2111,Char Bolak,2111,2111,Char Bolak,2111,2111,Char Bolak,2111,2111,Char Bolak,2111,2111,Char Bolak,1910,1910,Char Bolak,1910,1910,Char Bolak,1910,1910,Char Bolak,1910,1910,Char Bolak,1910,1910
Shortepa,2112,Shortepa,2112,2112,Shortepa,2112,2112,Shortepa,2112,2112,Shortepa,2112,2112,Shortepa,2112,2112,Shortepa,2112,2112,Shortepa,2112,2112,Shortepa,2112,2112,Shortepa,2112,2112,Shortepa,2112,2112,Shortepa,1907,1907,Shortepa,1907,1907,Shortepa,1907,1907,Shortepa,1907,1907,Shortepa,1907,1907
Kaldar,2113,Kaldar,2113,2113,Kaldar,2113,2113,Kaldar,2113,2113,Kaldar,2113,2113,Kaldar,2113,2113,Kaldar,2113,2113,Kaldar,2113,2113,Kaldar,2113,2113,Kaldar,2113,2113,Kaldar,2113,2113,Kaldar,1906,1906,Kaldar,1906,1906,Kaldar,1906,1906,Kaldar,1906,1906,Kaldar,1906,1906
Kishindeh,2114,Kishindeh,2114,2114,Kishindeh,2114,2114,Kishindeh,2114,2114,Kishindeh,2114,2114,Kishindeh,2114,2114,Kishindeh,2114,2114,Kishindeh,2114,2114,Kishindeh,2114,2114,Kishindeh,2114,2114,Kishindeh,2114,2114,Kishindeh,1914,1914,Kishindeh,1914,1914,Kishindeh,1914,1914,Kishindeh,1914,1914,Kishindeh,1914,1914
Zari,2115,Zari,2115,2115,Zari,2115,2115,Zari,2115,2115,Zari,2115,2115,Zari,2115,2115,Zari,2115,2115,Zari,2115,2115,Zari,2115,2115,Zari,2115,2115,Zari,2115,2115,Zari,1915,1915,Zari,1915,1915,Zari,1915,1915,Zari,1915,1915,Zari,1915,1915
provincial Capital (Bamyan ),1001,province Center (Bamyan),1001,1001,province Center (Bamyan ),1001,1001,province Center (Bamyan ),1001,1001,province Center (Bamyan ),1001,1001,province Center (Bamyan ),1001,1001,Bamyan Center (Bamyan ),1001,1001,Bamyan Center (Bamyan ),1001,1001,Bamyan Center (Bamyan ),1001,1001,Bamyan Center (Bamyan ),1001,1001,Bamyan Center (Bamyan ),1001,1001,Bamyan Center (Bamyan ),3201,3201,Bamyan Center (Bamyan ),3201,3201,Bamyan Center (Bamyan ),3201,3201,Provincial center (Bamyan ),3201,3201,Provincial center (Bamyan ),3201,3201
Shebar,1002,Shebar,1002,1002,Shebar,1002,1002,Shebar,1002,1002,Shebar,1002,1002,Shebar,1002,1002,Shebar,1002,1002,Shebar,1002,1002,Shebar,1002,1002,Shebar,1002,1002,Shebar,1002,1002,Shebar,3202,3202,Shebar,3202,3202,Shebar,3202,3202,Shebar,3202,3202,Shebar,3202,3202
Saighan,1003,Saighan,1003,1003,Saighan,1003,1003,Saighan,1003,1003,Saighan,1003,1003,Saighan,1003,1003,Saighan,1003,1003,Saighan,1003,1003,Saighan,1003,1003,Saighan,1003,1003,Saighan,1003,1003,Saighan,3203,3203,Saighan,3203,3203,Saighan,3203,3203,Saighan,3203,3203,Saighan,3203,3203
Kahmard,1004,Kahmard,1004,1004,Kahmard,1004,1004,Kahmard,1004,1004,Kahmard,1004,1004,Kahmard,1004,1004,Kahmard,1004,1004,Kahmard,1004,1004,Kahmard,1004,1004,Kahmard,1004,1004,Kahmard,1004,1004,Kahmard,3204,3204,Kahmard,3204,3204,Kahmard,3204,3204,Kohmard,3204,3204,Kohmard,3204,3204
Yakawlang,1005,Yakawlang,1005,1005,Yakawlang,1005,1005,Yakawlang,1005,1005,Yakawlang,1005,1005,Yakawlang,1005,1005,Yakawlang,1005,1005,Yakawlang,1005,1005,Yakawlang,1005,1005,Yakawlang,1005,1005,Yakawlang,1005,1005,Yakawlang,3205,3205,Yakawlang,3205,3205,Yakawlang,3205,3205,Yakawulang,3205,3205,Yakawulang,3205,3205
Panjab,1006,Panjab,1006,1006,Panjab,1006,1006,Panjab,1006,1006,Panjab,1006,1006,Panjab,1006,1006,Panjab,1006,1006,Panjab,1006,1006,Panjab,1006,1006,Panjab,1006,1006,Panjab,1006,1006,Panjab,3206,3206,Panjab,3206,3206,Panjab,3206,3206,Panjab,3206,3206,Panjab,3206,3206
Waras,1007,Waras,1007,1007,Waras,1007,1007,Waras,1007,1007,Waras,1007,1007,Waras,1007,1007,Waras,1007,1007,Waras,1007,1007,Waras,1007,1007,Waras,1007,1007,Waras,1007,1007,Waras,3207,3207,Waras,3207,3207,Waras,3207,3207,Waras,3207,3207,Waras,3207,3207
Yakawlang S.No 2,1008,Yakawlang NO 2,1008,1008,Yakawlang NO 2 (temporary district),1008,1008,Yakawlang NO 2 (temporary district(,1008,1008,Yakawlang NO 2 (temporary district),1008,1008,NA,NA,1005,NA,NA,1005,NA,NA,1005,NA,NA,1005,NA,NA,1005,NA,NA,1005,NA,NA,3205,NA,NA,3205,NA,NA,3205,NA,NA,3205,NA,NA,3205
provincial Capital (Nili),2401,province Center (Nili),2401,2401,province Center (Nili),2401,2401,province Center (Nili),2401,2401,province Center (Nili),2401,2401,province Center (Nili),2401,2401,Daykundi Center (Nili),2401,2401,Daykundi Center (Nili),2401,2401,Daykundi Center (Nili),2401,2401,Daykundi Center (Nili),2401,2401,Daykundi Center (Nili),2401,2401,Daykundi Center (Nili),3401,3401,Daykundi Center (Nili),3401,3401,Daykundi Center (Nili),3401,3401,Daykundi Center (Nili),3401,3401,Provincial center (Neli),3401,3401
Shahristan,2402,Shahristan,2402,2402,Shahristan,2402,2402,Shahristan,2402,2402,Shahristan,2402,2402,Shahristan,2402,2402,Shahristan,2402,2402,Shahristan,2402,2402,Shahristan,2402,2402,Shahristan,2402,2402,Shahristan,2402,2402,Shahristan,3402,3402,Shahristan,3402,3402,Shahristan,3402,3402,Shahristan,3402,3402,Shahrestan,3405,3405
Ishterlai,2403,Ishterlai,2403,2403,Ishterlai,2403,2403,Ishterlai,2403,2403,Ishterlai,2403,2403,Ishterlai,2403,2403,Ishterlai,2403,2403,Ishterlai,2404,2404,Ishterlai,2404,2404,Ishterlai,2404,2404,Ishterlai,2404,2404,Ishterlai,3404,3404,Ishterlai,3404,3404,Ishterlai,3404,3404,Ishterlai,3404,3404,Ashterlee,3402,3402
Khedir,2404,Khedir,2404,2404,Khedir,2404,2404,Khedir,2404,2404,Khedir,2404,2404,Khedir,2404,2404,Khedir,2404,2404,Khedir,2405,2405,Khedir,2405,2405,Khedir,2405,2405,Khedir,2405,2405,Khedir,3406,3406,Khedir,3406,3406,Khedir,3406,3406,Khedir,3406,3406,Khadeer,3404,3404
kiti,2405,kiti,2405,2405,kiti,2405,2405,kiti,2405,2405,kiti,2405,2405,kiti,2405,2405,Giti,2405,2405,Giti,2406,2406,Giti,2406,2406,Giti,2406,2406,Giti,2406,2406,Kiti,3408,3408,Kiti,3408,3408,Kiti,3408,3408,Kiti,3408,3408,Gitti,3408,3408
Miramor,2406,Miramor,2406,2406,Miramor,2406,2406,Miramor,2406,2406,Miramor,2406,2406,Miramor,2406,2406,Miramor,2406,2406,Miramor,2407,2407,Miramor,2407,2407,Miramor,2407,2407,Miramor,2407,2407,Miramor,3403,3403,Miramor,3403,3403,Miramor,3403,3403,Miramor,3403,3403,Mir Amor,3406,3406
Sang -e- Takht,2407,Sang -e- Takht,2407,2407,Sang -e- Takht,2407,2407,Sang -e- Takht,2407,2407,Sang -e- Takht,2407,2407,Sang -e- Takht,2407,2407,Sang -e- Takht,2407,2407,Sang -e- Takht,2408,2408,Sang -e- Takht,2408,2408,Sang -e- Takht,2408,2408,Sang -e- Takht,2408,2408,Sang-i- Takht,3405,3405,Sang-i- Takht,3405,3405,Sang-i- Takht,3405,3405,Sang-i- Takht,3405,3405,Sang-i- Takhte,3403,3403
Kejran,2408,Kejran,2408,2408,Kejran,2408,2408,Kejran,2408,2408,Kejran,2408,2408,Kejran,2408,2408,Kejran,2408,2408,Kejran,2409,2409,Kejran,2409,2409,Kejran,2409,2409,Kejran,2409,2409,Kejran,3407,3407,Kejran,3407,3407,Kejran,3407,3407,Kejran,3407,3407,Gujran,3407,3407
pato,2409,pato,2409,2409,NA,NA,2409,NA,NA,2409,patoo,2409,2409,patoo,2409,2409,patoo (temporary district),2409,2506,NA,NA,2403,NA,NA,2403,NA,NA,2403,NA,NA,2403,NA,NA,3409,NA,NA,3409,NA,NA,3409,NA,NA,3409,NA,NA,3409
provincial Capital (Tirinkot),2501,province Center (Tirinkot),2501,2501,province Center (Tirinkot),2501,2501,province Center (Tirinkot),2501,2501,province Center (Tirinkot),2501,2501,province Center (Tirinkot),2501,2501,Urozgan Center (Tirinkot),2501,2501,Urozgan Center (Tirinkot),2501,2501,Urozgan Center (Tirinkot),2501,2501,Urozgan Center (Tirinkot),2501,2501,Urozgan Center (Tirinkot),2501,2501,Urozgan Center (Tirinkot),3001,3001,Urozgan Center (Tirinkot),3001,3001,Provincial center (Terinkott),3001,3001,Provincial center (Terinkott),3001,3001,Provincial center (Terinkott),3001,3001
Dehraoud,2502,Dehraoud,2502,2502,Dehraoud,2502,2502,Dehraoud,2502,2502,Dehraoud,2502,2502,Dehraoud,2502,2502,Dehraoud,2502,2502,Dehraoud,2502,2502,Dehraoud,2502,2502,Dehraoud,2502,2502,Dehraoud,2502,2502,Dehraoud,3005,3005,Dehraoud,3005,3005,Dehraoud,3005,3005,Dehraoud,3005,3005,Dehraoud,3005,3005
Chora,2503,Chora,2503,2503,Chora,2503,2503,Chora,2503,2503,Chora,2503,2503,Chora,2503,2503,Chora,2503,2503,Chora,2503,2503,Chora,2503,2503,Chora,2503,2503,Chora,2503,2503,Chora,3002,3002,Chora,3002,3002,Chorah,3002,3002,Chorah,3002,3002,Chorah,3002,3002
Shahidhassas,2504,Shahidhassas,2504,2504,Shahidhassas,2504,2504,Shahidhassas,2504,2504,Shahidhassas,2504,2504,Shahidhassas,2504,2504,Shahidhassas,2504,2504,Shahidhassas,2504,2504,Shahidhassas,2504,2504,Shahidhassas,2504,2504,Shahidhassas,2504,2504,Shahidhassas,3004,3004,Shahidhassas,3004,3004,Shaheed-i- Hasas,3004,3004,Shaheed-i- Hasas,3004,3004,Shaheed-i- Hasas,3004,3004
Khas Urozgan,2505,Khas Urozgan,2505,2505,Khas Urozgan,2505,2505,Khas Urozgan,2505,2505,Khas Urozgan,2505,2505,Khas Urozgan,2505,2505,Khas Urozgan,2505,2505,Khas Urozgan,2505,2505,Khas Urozgan,2505,2505,Khas Urozgan,2505,2505,Khas Urozgan,2505,2505,KhasUrozgan,3003,3003,Khas Urozgan,3003,3003,Khas Urozgan,3003,3003,Khas Urozgan,3003,3003,Khas Urozgan,3003,3003
Gizab,2506,Gizab,2506,2506,Gizab,2409,2409,Gizab,2409,2409,Gizab,2506,2506,Gizab,2506,2506,Gizab,2506,2506,Gizab,2403,2403,Gizab,2403,2403,Gizab,2403,2403,Gizab,2403,2403,Gizab,3409,3409,Gizab,3409,3409,Gizab,3409,3409,Gizab,3409,3409,Gazab,3409,3409
Chinarto,2507,Chinarto,2507,2507,Chinarto (temporary district),2506,2506,Chinarto (temporary district),2506,2506,Chinarto,2507,2507,Chinarto,2507,2507,Chinarto,2507,2507,Chinarto (temporary province),2506,2506,Chinarto (temporary district),2506,2506,Chinarto,2506,2506,Chinarto (Temporary District),2506,2506,Chinarto,3006,3006,NA,NA,3002,NA,NA,3002,NA,NA,3002,NA,NA,3002
provincial Capital (Farah),3301,province Center (Farah),3301,3301,province Center (Farah),3301,3301,province Center (Farah),3301,3301,province Center (Farah),3301,3301,province Center (Farah),3301,3301,Farah Center (Farah),3301,3301,Farah Center (Farah),3301,3301,Farah Center (Farah),3301,3301,Farah Center (Farah),3301,3301,Farah Center (Farah),3301,3301,FarahCenter(Farah),2501,2501,FarahCenter(Farah),2501,2501,Provincial center (farah),2501,2501,Provincial center (farah),2501,2501,Provincial center (farah),2501,2501
Pushtrud,3302,Pushtrud,3302,3302,Pushtrud,3302,3302,Pushtrud,3302,3302,Pushtrud,3302,3302,Pushtrud,3302,3302,Pushtrud,3302,3302,Pushtrud,3302,3302,Pushtrud,3302,3302,Pushtrud,3302,3302,Pushtrud,3302,3302,Pushtrud,2502,2502,Pushtrud,2502,2502,Posht Road,2502,2502,Posht Road,2502,2502,Posht Road,2502,2502
Khak-i-safed,3303,Khak-i-safed,3303,3303,Khak-i-safed,3303,3303,Khak-i-safed,3303,3303,Khak-i-safed,3303,3303,Khak-i-safed,3303,3303,Khak-i-safed,3303,3303,Khak-i-safed,3303,3303,Khak-i-safed,3303,3303,Khak-i-safed,3303,3303,Khak-i-safed,3303,3303,Khak-i-safed,2503,2503,Khak-i-safed,2503,2503,Khak-i-safeid,2503,2503,Khak-i-safeid,2503,2503,Khak-i-safeid,2503,2503
Qala-i-kah,3304,Qala-i-kah,3304,3304,Qala-i-kah,3304,3304,Qala-i-kah,3304,3304,Qala-i-kah,3304,3304,Qala-i-kah,3304,3304,Qala-i-kah,3304,3304,Qala-i-kah,3304,3304,Qala-i-kah,3304,3304,Qala-i-kah,3304,3304,Qala-i-kah,3304,3304,Qala-i-kah,2505,2505,Qala-i-kah,2505,2505,Qala-i-kah,2505,2505,Qala-i-kah,2505,2505,Qala-i-kah,2505,2505
Shibkoh,3305,Shibkoh,3305,3305,Shibkoh,3305,3305,Shibkoh,3305,3305,Shibkoh,3305,3305,Shibkoh,3305,3305,Shibkoh,3305,3305,Shibkoh,3305,3305,Shibkoh,3305,3305,Shibkoh,3305,3305,Shibkoh,3305,3305,Shibkoh,2506,2506,Shibkoh,2506,2506,Sheibkoh,2506,2506,Sheibkoh,2506,2506,Sheibkoh,2506,2506
Bala Buluk,3306,Bala Buluk,3306,3306,Bala Buluk,3306,3306,Bala Buluk,3306,3306,Bala Buluk,3306,3306,Bala Buluk,3306,3306,Bala Buluk,3306,3306,Bala Buluk,3306,3306,Bala Buluk,3306,3306,Bala Buluk,3306,3306,Bala Buluk,3306,3306,Bala Buluk,2509,2509,Bala Buluk,2509,2509,Bala Blook,2509,2509,Bala Blook,2509,2509,Bala Blook,2509,2509
Anar Dara,3307,Anar Dara,3307,3307,Anar Dara,3307,3307,Anar Dara,3307,3307,Anar Dara,3307,3307,Anar Dara,3307,3307,Anar Dara,3307,3307,Anar Dara,3307,3307,Anar Dara,3307,3307,Anar Dara,3307,3307,Anar Dara,3307,3307,Anar Dara,2504,2504,Anar Dara,2504,2504,Anardarah,2504,2504,Anardarah,2504,2504,Anardarah,2504,2504
Bakwa,3308,Bakwa,3308,3308,Bakwa,3308,3308,Bakwa,3308,3308,Bakwa,3308,3308,Bakwa,3308,3308,Bakwa,3308,3308,Bakwa,3308,3308,Bakwa,3308,3308,Bakwa,3308,3308,Bakwa,3308,3308,Bakwa,2508,2508,Bakwa,2508,2508,Bakwa,2508,2508,Bakwa,2508,2508,Bakwa,2508,2508
Lash-i- Juwayn,3309,Lash-i- Juwayn,3309,3309,Lash-i- Juwayn,3309,3309,Lash-i- Juwayn,3309,3309,Lash-i- Juwayn,3309,3309,Lash-i- Juwayn,3309,3309,Lash-i- Juwayn,3309,3309,Lash-i- Juwayn,3309,3309,Lash-i- Juwayn,3309,3309,Lash-i- Juwayn,3309,3309,Lash-i- Juwayn,3309,3309,Lash-i- Juwayn,2507,2507,Lash-i- Juwayn,2507,2507,Lash-i- Jaween,2507,2507,Lash-i- Jaween,2507,2507,Lash-i- Jaween,2507,2507
Gulistan,3310,Gulistan,3310,3310,Gulistan,3310,3310,Gulistan,3310,3310,Gulistan,3310,3310,Gulistan,3310,3310,Gulistan,3310,3310,Gulistan,3310,3310,Gulistan,3310,3310,Gulistan,3310,3310,Gulistan,3310,3310,Gulistan,2510,2510,Gulistan,2510,2510,Gulestan,2510,2510,Gulestan,2510,2510,Gulestan,2510,2510
Pur Chaman,3311,Pur Chaman,3311,3311,Pur Chaman,3311,3311,Pur Chaman,3311,3311,Pur Chaman,3311,3311,Pur Chaman,3311,3311,Pur Chaman,3311,3311,Pur Chaman,3311,3311,Pur Chaman,3311,3311,Pur Chaman,3311,3311,Pur Chaman,3311,3311,Pur Chaman,2511,2511,Pur Chaman,2511,2511,Pur Chaman,2511,2511,Pur Chaman,2511,2511,Pur Chaman,2511,2511
provincial Capital (Zaranj),3401,province Center (Zaranj),3401,3401,province Center (Zaranj),3401,3401,province Center (Zaranj),3401,3401,province Center (Zaranj),3401,3401,province Center (Zaranj),3401,3401,Nimroz Center (Zaranj),3401,3401,Nimroz Center (Zaranj),3401,3401,Nimroz Center (Zaranj),3401,3401,Nimroz Center (Zaranj),3401,3401,Nimroz Center (Zaranj),3401,3401,Nimroz Center (Zaranj),2601,2601,Nimroz Center (Zaranj),2601,2601,Provincial center (Zaranj),2601,2601,Provincial center (Zaranj),2601,2601,Provincial center (Zaranj),2601,2601
Kang,3402,Kang,3402,3402,Kang,3402,3402,Kang,3402,3402,Kang,3402,3402,Kang,3402,3402,Kang,3402,3402,Kang,3402,3402,Kang,3402,3402,Kang,3402,3402,Kang,3402,3402,Kang,2602,2602,Kang,2602,2602,Kang,2602,2602,Kang,2602,2602,Kang,2602,2602
Asl-i-chakhansur,3403,Asl-i-chakhansur,3403,3403,Asl-i-chakhansur,3403,3403,Asl-i-chakhansur,3403,3403,Asl-i-chakhansur,3403,3403,Asl-i-chakhansur,3403,3403,Asl-i-chakhansur,3403,3403,Asl-i-chakhansur,3403,3403,Asl-i-chakhansur,3403,3403,Asl-i-chakhansur,3403,3403,Asl-i-chakhansur,3403,3403,Asl-i-chakhansur,2604,2604,Asl-i-chakhansur,2604,2604,Asl-i-chakhansoor,2604,2604,Asl-i-chakhansoor,2604,2604,Asl-i-chakhansoor,2604,2604
Char Burjak,3404,Char Burjak,3404,3404,Char Burjak,3404,3404,Char Burjak,3404,3404,Char Burjak,3404,3404,Char Burjak,3404,3404,Char Burjak,3404,3404,Char Burjak,3404,3404,Char Burjak,3404,3404,Char Burjak,3404,3404,Char Burjak,3404,3404,Char Burjak,2603,2603,Char Burjak,2603,2603,Char Burjak,2603,2603,Char Burjak,2603,2603,Char Burjak,2603,2603
Khashrod,3405,Khashrod,3405,3405,Khashrod,3405,3405,Khashrod,3405,3405,Khashrod,3405,3405,Khashrod,3405,3405,Khashrod,3405,3405,Khashrod,3405,3405,Khashrod,3405,3405,Khashrod,3405,3405,Khashrod,3405,3405,Khashrod,2605,2605,Khashrod,2605,2605,Khashroad,2605,2605,Khashroad,2605,2605,Khashroad,2605,2605
